I'm 19.	Tengo diecinueve.
I am a teacher.	Yo soy profesor.
I am a teacher.	Soy maestro.
I am a tourist.	Soy un turista.
I am a tourist.	Yo soy una turista.
I am an artist.	Soy un artista.
I am exhausted.	Estoy exhausto.
I am exhausted.	Estoy reventado.
I am exhausted.	Estoy agotado.
I am like them.	Soy como ellos.
I am not Czech.	Yo no soy checo.
I am too short.	Soy demasiado bajo.
I am too short.	Soy demasiado pequeño.
I am very tall.	Soy muy alto.
I'm Tom's boss.	Soy el jefe de Tom.
I'm Tom's wife.	Soy la esposa de Tom.
I'm a beginner.	Soy principiante.
I'm a bit busy.	Estoy un poco ocupada.
I'm a diabetic.	Soy diabética.
I'm a free man.	Soy un hombre libre.
I'm a good guy.	Soy un buen tipo.
I'm a musician.	Soy músico.
I'm a nice guy.	Soy un buen sujeto.
I'm a prisoner.	Soy un prisionero.
I'm a salesman.	Soy un hombre de negocios.
I'm all for it.	Voy con todas por eso.
I'm alone here.	Estoy sola acá.
I'm an atheist.	Soy ateo.
I'm an old man.	Soy un anciano.
I'm astonished.	Estoy asombrada.
I'm behind him.	Está detrás de él.
I'm dead tired.	Estoy muerta de cansancio.
I'm dependable.	Soy confiable.
I'm devastated.	Estoy devastada.
I'm diplomatic.	Soy diplomática.
I'm eating now.	Ahora estoy comiendo.
I'm eating now.	Estoy comiendo ahora.
I'm fascinated.	Estoy fascinada.
I'm feeling it.	Lo estoy sintiendo.
I'm from Kyoto.	Soy de Kioto.
I'm from Tokyo.	Soy de Tokio.
I'm going back.	Voy de regreso.
I'm going bald.	Me estoy quedando calvo.
I'm happy, Tom.	Tom, soy feliz.
I'm having fun.	Me estoy divirtiendo.
I'm in a hurry.	Estoy apurado.
I'm in the car.	Estoy en el coche.
I'm interested.	Estoy interesado.
I'm interested.	Estoy interesada.
I'm just a kid.	Soy solo un niño.
I'm mad at you.	Estoy enfadado contigo.
I'm making tea.	Estoy preparando té.
I'm meditating.	Estoy meditando.
I'm no quitter.	Yo no renuncio así nada más.
I'm not a baby.	Ya no soy un bebé.
I'm not a hero.	No soy un héroe.
I'm not afraid.	No tengo miedo.
I'm not afraid.	No estoy asustado.
I'm not crying.	No estoy llorando.
I'm not famous.	No soy famoso.
I'm not guilty.	No soy culpable.
I'm not hiding.	No me estoy escondiendo.
I'm not insane.	No estoy loco.
I'm not insane.	No estoy loca.
I'm not joking.	No estoy bromeando.
I'm not racist.	No soy racista.
I'm not scared.	No tengo miedo.
I'm not scared.	No estoy asustado.
I'm not skinny.	No soy delgado.
I'm not sleepy.	No tengo sueño.
I'm not so old.	No soy tan mayor.
I'm not strong.	No soy fuerte.
I'm often here.	Yo estoy aquí a menudo.
I'm old enough.	Soy suficientemente mayor.
I'm on holiday.	Estoy de vacaciones.
I'm only human.	Solo soy humano.
I'm optimistic.	Soy optimista.
I'm out of gas.	Estoy sin bencina.
I'm reading it.	Lo estoy leyendo.
I'm really old.	Soy muy viejo.
I'm remodeling.	Estoy de reforma.
I'm so excited.	Estoy tan emocionado.
I'm so excited.	Estoy muy emocionada.
I'm so thirsty.	Tengo tanta sed.
I'm so unlucky!	¡Soy tan desafortunado!
I'm speechless.	Estoy sin palabras.
I'm still busy.	Todavía estoy ocupado.
I'm still busy.	Todavía estoy ocupada.
I'm still here.	Todavía estoy acá.
I'm still here.	Todavía estoy aquí.
I'm the oldest.	Soy el más viejo.
I'm undressing.	Me desnudo.
I'm undressing.	Me estoy desvistiendo.
I'm undressing.	Me estoy desnudando.
I'm undressing.	Me estoy sacando la ropa.
I'm unemployed.	Estoy en paro.
I'm unemployed.	Estoy desempleado.
I'm unemployed.	Estoy parado.
I'm unemployed.	Estoy desempleada.
I'm used to it.	Estoy acostumbrado.
I'm used to it.	Estoy acostumbrada.
I'm very angry.	Estoy muy enojada.
I'm very angry.	Estoy muy enojado.
I'm very blunt.	Soy muy rudo.
I'm very happy.	Soy muy feliz.
I'm very short.	Soy muy pequeño.
I'm very sorry.	Lo siento mucho.
I'm very tired.	Estoy muy cansado.
I'm wide awake.	Estoy muy despierto.
She is a nurse.	Ella es una enfermera.
She is awkward.	Ella es torpe.
She is dieting.	Está a dieta.
She is out now.	Ella está afuera ahora.
She is talking.	Ella está hablando.
She is walking.	Ella está caminando.
She's Canadian.	Es canadiense.
She's Canadian.	Ella es canadiense.
She's a beauty.	Ella es una belleza.
She's adorable.	Ella es adorable.
She's an angel.	Es un ángel.
She's demented.	Ella está demente.
She's innocent.	Es inocente.
She's not here.	Ella no está aquí.
She's pregnant.	Ella está embarazada.
She's stubborn.	Ella es cabezota.
She's stubborn.	Ella es testaruda.
They are going.	Ellos se van.
They are happy.	Ellos están felices.
They're broken.	Están rotos.
They're broken.	Están estropeados.
They're coming.	Vienen.
They're family.	Ellos son familia.
They're family.	Ellas son familia.
They're family.	Son familia.
They're hiding.	Ellos están escondidos.
They're hollow.	Ellos están vacíos.
They're idiots.	Son idiotas.
They're insane.	Están fatal.
They're insane.	Están muy mal.
They're insane.	Se les va la olla.
They're insane.	Tienen un buen cacao mental.
They're insane.	Están mal de la azotea.
They're insane.	Se les va la pinza.
They're insane.	Están idos de la cabeza.
They're insane.	Están como cabras.
They're insane.	Están como una cabra.
They're insane.	Están molidos de la cabeza.
They're insane.	Tienen una taradura importante.
They're inside.	Están dentro.
They're joking.	Están de broma.
They're trying.	Lo están intentando.
We are at home.	Estamos en casa.
We are cousins.	Somos primos.
We are doctors.	Somos médicos.
We're brothers.	Somos hermanos.
We're busy men.	Somos hombres ocupados.
We're busy men.	Somos personas ocupadas.
We're credible.	Somos confiables.
We're divorced.	Estamos divorciados.
We're famished.	Estamos famélicos.
We're famished.	Estamos muertos de hambre.
We're gullible.	Somos ingenuos.
We're hopeless.	Estamos sin esperanza.
We're in Italy.	Estamos en Italia.
We're not poor.	No somos pobres.
We're not rich.	No somos ricos.
We're on leave.	Estamos de vacaciones.
We're restless.	Somos inquietos.
We're starving.	Nos morimos de hambre.
We're stranded.	Estamos colgados.
We're thorough.	Somos minuciosos.
We're up early.	Nos levantamos temprano.
We're watching.	Estamos observando.
We're watching.	Estamos mirando.
We're watching.	Observamos.
We're watching.	Miramos.
We're with you.	Estamos con vos.
You are morons.	Ustedes son idiotas.
You are stupid.	Eres estúpido.
You are stupid.	Eres un estúpido.
You're a fraud.	Eres un fraude.
You're a freak.	Sos un caprichoso.
You're a loser.	Sos un perdedor.
You're a prude.	Sos un mojigato.
You're a thief.	Sos un chorro.
You're a woman.	Eres una mujer.
You're amazing.	Son increíbles.
You're amusing.	Tú eres entretenido.
You're finicky.	Eres quisquilloso.
You're helpful.	Eres de gran ayuda.
You're in love.	Estás enamorado.
You're in luck.	Andas con suerte.
You're in luck.	Sois afortunados.
You're invited.	Estás invitado.
You're kidding!	¡Estás bromeando!
You're like me.	Eres como yo.
You're like me.	Son como yo.
You're like me.	Usted es como yo.
You're my hero.	Eres mi héroe.
You're my hero.	Sos mi héroe.
You're my type.	Eres mi tipo.
You're not God.	No sos Dios.
You're not fat.	No sos gordo.
You're not old.	Vos no sos viejo.
You're on time.	Estás a tiempo.
You're patient.	Sos paciente.
You're patient.	Eres paciente.
You're psyched.	Estás mentalizado.
You're shallow.	Tú eres superficial.
You're sloshed.	Estás borracho.
You're sloshed.	Estáis borrachos.
You're so thin.	Sos muy flaco.
You're useless.	Sos inservible.
You're useless.	Sos un cero a la izquierda.
You're useless.	No servís para nada.
You're useless.	Sos bueno para nada.
You're useless.	Son inservibles.
You're useless.	Son un cero a la izquierda.
You're useless.	Son buenos para nada.
You're winning.	Estás ganando.
You're winning.	Están ganando.
You're wounded.	Estás herida.
He is Ethiopian.	Es etíope.
He is a bad boy.	Él es un chico travieso.
He is a dreamer.	Él es un soñador.
He is a painter.	Él es un pintor.
He is a painter.	Él es pintor.
He is a student.	Él es estudiante.
He is a teacher.	Él es profesor.
He is depressed.	Él está deprimido.
He is my father.	Él es mi padre.
He is not there.	No está ahí.
He is not young.	Él no es joven.
He is off today.	Él está libre hoy.
He is unmarried.	Él no está casado.
He is unmarried.	Él está soltero.
He is very fast.	Él es muy rápido.
He is very kind.	Es muy amable.
He is very kind.	Él es muy amable.
He is very sick.	Está muy enfermo.
He is very tall.	Él es muy alto.
He is well paid.	A él le pagan bien.
He's a bad liar.	Él es un mal mentiroso.
He's a bad liar.	Él miente mal.
He's a comedian.	Él es comediante.
He's a freshman.	Está en el primer año de universidad.
He's a gardener.	Él es jardinero.
He's a good guy.	Es un buen hombre.
He's a good guy.	Él es de primera.
He's a good man.	Es un buen hombre.
He's dead-tired.	Está muerto de cansancio.
He's going bald.	Se está quedando calvo.
He's her friend.	Él es su amigo.
He's her friend.	Él es amigo de ella.
He's kind to me.	Él es amable conmigo.
He's my husband.	Él es mi marido.
He's not a hero.	Él no es un héroe.
He's not stupid.	Él no es estúpido.
He's not stupid.	No es estúpido.
He's very angry.	Está realmente enfadado.
He's wide awake.	Él está muy despierto.
I am a good boy.	Soy un buen tipo.
I am a good boy.	Soy un buen niño.
I am busy today.	Hoy estoy ocupado.
I am busy today.	Hoy estoy ocupada.
I am from China.	Soy de China.
I am from Spain.	Soy de España.
I am from Tokyo.	Soy de Tokio.
I am going, too.	Yo también voy.
I am going, too.	Yo también me voy.
I am in trouble.	Estoy en problemas.
I am not afraid.	No tengo miedo.
I am not afraid.	No estoy asustado.
I am not eating.	No estoy comiendo.
I am undressing.	Me estoy desvistiendo.
I am undressing.	Me estoy quitando la ropa.
I am undressing.	Me estoy desnudando.
I am undressing.	Me estoy sacando la ropa.
I am very tired.	Estoy muy cansado.
I'm Tom's uncle.	Soy el tío de Tom.
I'm a Christian.	Soy cristiano.
I'm a TV addict.	Soy un adicto a la TV.
I'm a bit tired.	Estoy un poco cansada.
I'm a carpenter.	Soy carpintero.
I'm a carpenter.	Soy maderero.
I'm a detective.	Soy detective.
I'm a good cook.	Soy un buen cocinero.
I'm a good cook.	Soy buena para cocinar.
I'm a good cook.	Se me da bien la cocina.
I'm a happy man.	Soy un hombre feliz.
I'm a lifeguard.	Soy salvavidas.
I'm a night owl.	Soy un ave nocturna.
I'm a policeman.	Yo soy policía.
I'm able to run.	Puedo correr.
I'm able to ski.	Sé esquiar.
I'm about ready.	Estoy casi listo.
I'm about ready.	Estoy casi lista.
I'm almost done.	Estoy casi listo.
I'm almost done.	Casi he terminado.
I'm almost sure.	Estoy casi segura.
I'm always late.	Siempre estoy atrasado.
I'm an engineer.	Soy ingeniero.
I'm an engineer.	Soy un ingeniero.
I'm an optimist.	Soy optimista.
I'm at the bank.	Estoy en el banco.
I'm at work now.	Ahora estoy en el trabajo.
I'm aware of it.	Soy consciente de ello.
I'm aware of it.	Estoy enterado de ello.
I'm begging you.	Te estoy suplicando.
I'm begging you.	Te estoy implorando.
I'm calling you.	Te estoy llamando.
I'm catching on.	Estoy comprendiendo.
I'm color-blind.	Soy daltónico.
I'm coming back.	Voy de vuelta.
I'm coming home.	Vuelvo a casa.
I'm cracking up.	Me carcajeo.
I'm defenseless.	Estoy indefenso.
I'm eating here.	Estoy comiendo aquí.
I'm embarrassed.	Estoy avergonzado.
I'm extroverted.	Soy extrovertida.
I'm feeling bad.	Me siento mal.
I'm from Boston.	Soy de Boston.
I'm from Brazil.	Soy de Brasil.
I'm from Canada.	Vengo de Canadá.
I'm from Canada.	Soy de Canadá.
I'm from Zambia.	Soy de Zambia.
I'm getting old.	Me estoy haciendo viejo.
I'm going to go.	Voy a ir.
I'm helping Tom.	Estoy ayudando a Tom.
I'm helping out.	Estoy ayudando.
I'm helping you.	Te estoy ayudando.
I'm in Portugal.	Estoy en Portugal.
I'm in a pickle.	Estoy en apuros.
I'm in a pickle.	Estoy en un aprieto.
I'm in no hurry.	No llevo prisa.
I'm in the bath.	Estoy en la bañadera.
I'm just asking.	Solo pregunto.
I'm just joking.	Solo bromeo.
I'm leaving now.	Voy saliendo.
I'm left-handed.	Soy zurdo.
I'm lucky today.	Hoy es mi día.
I'm lucky today.	Hoy tengo suerte.
I'm my own boss.	Soy mi propio jefe.
I'm nearsighted.	Soy miope.
I'm new at this.	Soy nuevo en esto.
I'm not English.	No soy inglés.
I'm not alarmed.	No estoy preocupado.
I'm not certain.	No estoy segura.
I'm not chicken.	No soy gallina.
I'm not jealous.	No soy celosa.
I'm not kidding.	No estoy bromeando.
I'm not married.	No estoy casado.
I'm not married.	No estoy casada.
I'm not nervous.	No estoy nervioso.
I'm not patient.	No tengo paciencia.
I'm not perfect.	No soy perfecta.
I'm not serious.	No voy en serio.
I'm not so sure.	No estoy tan seguro.
I'm not special.	No soy especial.
I'm not waiting.	No estoy esperando.
I'm not wealthy.	No soy rico.
I'm not working.	No estoy trabajando.
I'm not yelling.	No estoy gritando.
I'm now unarmed.	Ahora no estoy armado.
I'm on vacation.	Estoy de vacaciones.
I'm open-minded.	Soy de mente abierta.
I'm quite tired.	Estoy bastante cansado.
I'm rather busy.	Estoy bastante ocupado.
I'm ready to go.	Estoy listo para irme.
I'm responsible.	Soy alguien responsable.
I'm responsible.	Soy responsable.
I'm so confused.	Estoy muy confundida.
I'm still alive.	Todavía estoy vivo.
I'm still alive.	Sigo vivo.
I'm still awake.	Todavía estoy despierto.
I'm thirty-four.	Tengo treinta y cuatro años.
I'm tired of TV.	Estoy cansado de la tele.
I'm too ashamed.	Estoy muy avergonzado.
I'm truly sorry.	De verdad lo siento.
I'm very clumsy.	Soy muy desmañado.
I'm very hungry.	Estoy muy hambriento.
I'm very modest.	Soy muy modesto.
I'm your doctor.	Soy tu doctor.
I'm your father.	Soy tu padre.
I'm your father.	Yo soy tu padre.
I'm your friend.	Soy tu amigo.
I'm your friend.	Soy tu amiga.
I'm your lawyer.	Soy tu abogado.
I'm your sister.	Yo soy tu hermana.
I'm your sister.	Soy tu hermana.
She is Canadian.	Es canadiense.
She is Canadian.	Ella es canadiense.
She is Japanese.	Ella es japonesa.
She is a beauty.	Ella es una belleza.
She is a genius.	Ella es un genio.
She is a singer.	Ella es cantante.
She is carefree.	Ella es despreocupada.
She is graceful.	Ella es grácil.
She is not tall.	Ella no es alta.
She is too weak.	Ella es demasiado débil.
She's Brazilian.	Es brasileña.
She's assertive.	Ella es asertiva.
She's beautiful.	Es guapa.
She's beautiful.	Ella es preciosa.
She's in danger.	Ella está en peligro.
She's my sister.	Ella es mi hermana.
She's my sister.	Es mi hermana.
She's no singer.	Ella no es ninguna cantante.
She's no singer.	Ella no es cantante.
She's on a diet.	Ella está a dieta.
They are actors.	Ellos son actores.
They are melons.	Son melones.
They are pilots.	Ellos son pilotos.
They are pretty.	Son lindos.
They are pretty.	Ellas son lindas.
They are yellow.	Están amarillos.
They are yellow.	Son amarillas.
They're Russian.	Ellos son rusos.
They're Russian.	Ellas son rusas.
They're arguing.	Están discutiendo.
They're correct.	Son correctos.
They're cousins.	Son primos.
They're dancing.	Están bailando.
They're friends.	Son amigos.
They're interns.	Son becarios.
They're interns.	Están en prácticas.
They're jealous.	Están celosos.
They're jittery.	Están inquietos.
They're jittery.	Están nerviosos.
They're married.	Están casados.
They're sisters.	Son hermanas.
They're special.	Son especiales.
They're talking.	Están hablando.
They're talking.	Están charlando.
They're trapped.	Ellos están atrapados.
They're waiting.	Están esperando.
They're waiting.	Están aguardando.
They're with me.	Ellas están conmigo.
They're with me.	Están conmigo.
They're with me.	Ellos están conmigo.
They're working.	Están trabajando.
They're worried.	Están preocupados.
We are brothers.	Somos hermanos.
We are his sons.	Nosotros somos sus hijos.
We are so happy.	Somos tan felices.
We are so happy.	Estamos tan felices.
We are teachers.	Somos profesores.
We are teachers.	Somos maestros.
We are the best.	Somos los mejores.
We're Canadians.	Somos canadienses.
We're all dying.	Nos estamos muriendo.
We're all dying.	Nos estamos muriendo todos.
We're all happy.	Todos nosotros somos felices.
We're all tired.	Estamos todos cansados.
We're available.	Estamos disponibles.
We're both fine.	Los dos estamos bien.
We're both rich.	Los dos somos ricos.
We're confident.	Estamos seguros.
We're easygoing.	Somos simpáticos.
We're easygoing.	Somos cordiales.
We're going out.	Vamos a salir.
We're going out.	Nosotros salimos.
We're impartial.	Somos imparciales.
We're in Boston.	Estamos en Boston.
We're in charge.	Estamos a cargo.
We're in danger.	Estamos en peligro.
We're intrigued.	Estamos intrigados.
We're listening.	Estamos escuchando.
We're losing it.	Le estamos perdiendo.
We're newlyweds.	Somos recién casados.
We're newlyweds.	Estamos recién casados.
We're not crazy.	No estamos locos.
We're not crazy.	No estamos locas.
We're not going.	Nosotros no vamos.
We're not going.	No vamos a ir.
We're not ready.	No estamos listos.
We're objective.	Somos objetivos.
We're organized.	Estamos organizados.
We're prisoners.	Somos prisioneros.
We're satisfied.	Estamos satisfechos.
We're separated.	Estamos separados.
We're too close.	Estamos demasiado cerca.
We're too drunk.	Estamos demasiado borrachos.
We're too drunk.	Estamos demasiado bebidos.
You are a woman.	Eres una mujer.
You are my hero.	Eres mi héroe.
You are naughty.	Eres un travieso.
You are tallest.	Tú eres el más alto.
You are tallest.	Tú eres la más alta.
You are tallest.	Eres el más alto.
You are tallest.	Eres la más alta.
You are the one.	Tú eres aquel.
You're a friend.	Sos un amigo.
You're a genius.	Eres un genio.
You're a genius.	Sos un genio.
You're a nobody.	Eres un donnadie.
You're a person.	Tú eres una persona.
You're a racist.	Eres un racista.
You're a sexist.	Sos un machista.
You're an adult.	Sos un adulto.
You're an angel!	¡Eres un ángel!
You're an angel.	¡Eres un ángel!
You're an angel.	Sos un ángel.
You're an idiot.	Eres idiota.
You're an idiot.	Sos un idiota.
You're an idiot.	¡Eres un idiota!
You're an idiot.	¡Eres idiota!
You're babbling.	Tú estás murmurando.
You're babbling.	Tú estás farfullando.
You're babbling.	Tú estás chismorreando.
You're decisive.	Eres decidido.
You're decisive.	Eres decidida.
You're dreaming.	Estás soñando.
You're gullible.	Eres ingenua.
You're gullible.	Ustedes son ingenuos.
You're hopeless.	No tienes esperanza.
You're hopeless.	No tienes remedio.
You're innocent.	Son inocentes.
You're innocent.	Usted es inocente.
You're innocent.	Eres inocente.
You're innocent.	Sos inocente.
You're like Tom.	Eres como Tom.
You're mine now.	Ahora eres mía.
You're mine now.	Ya eres mío.
You're mine now.	Ahora me perteneces.
You're mine now.	Ya te tengo.
You're my child.	Tú eres mi hijo.
